OID_,OBJECTID,station_na,fuel_type_,status_cod,street_add,city,st_prv_cod,zip,station_ph,access_day,groups_wit,cards_acce,longitude,latitude
448,28935,SACRAMENTO,ELEC,AVBL,Public Safety Administration Building (PSAB) 5770 Freeport Blvd,Sacramento,CA,95822,888-758-4389,24 hours daily,Public, ,-121.498620000000003,38.521895999999998
449,28982,Six Flags Magic Mountain,ELEC,AVBL,26101 Magic Mountain Pkwy,Valencia,CA,91355,661-255-4100,24 hours daily,Public, ,-118.594905999999995,34.428862000000002
450,28983,College of the Canyons - Parking Structure,ELEC,AVBL,26455 Rockwell Canyon Rd,Santa Clarita,CA,91355,661-259-7800,24 hours daily; parking permit required,Public, ,-118.569045000000003,34.407972999999998
451,28984,College of the Canyons - Lot 15,ELEC,AVBL,26455 Rockwell Canyon Rd,Santa Clarita,CA,91355,661-259-7800,24 hours daily; parking permit required,Public, ,-118.568546999999995,34.402310999999997
452,28985,Audi Valencia,ELEC,AVBL,23923 Creekside Rd,Valencia,CA,91355,888-885-5748,Dealership business hours,Public, ,-118.553042000000005,34.419198999999999
453,28998,Gnarly Wood,ELEC,AVBL,2081 Faraday,Carlsbad,CA,92008,888-998-2546,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Public, ,-117.285866999999996,33.134627999999999
454,29075,BIOSCIENCE PROP,ELEC,AVBL,10770 Wateridge Cir,San Diego,CA,92121,888-758-4389,24 hours daily,Public, ,-117.211960000000005,32.900759999999998
455,29117,Target T0310 Riverside Blvd.,ELEC,AVBL,2505 Riverside Blvd.,Sacramento,CA,95818,833-632-2778,24 hours daily,Public, ,-121.497855000000001,38.562896000000002
456,29179,Countryside Market - Shell,ELEC,AVBL,9741 South Enos Lane,Bakersfield,CA,93311,833-632-2778,24 hours daily,Public, ,-119.252960999999999,35.266528000000001
457,29293,Market West,ELEC,AVBL,3270 Arena Blvd.,Sacramento,CA,95834,833-632-2778,24 hours daily,Public, ,-121.532587000000007,38.641632999999999
458,29440,ENCLAVE SD,ELEC,AVBL,9868 Scranton Rd,San Diego,CA,92121,888-758-4389,24 hours daily,Public, ,-117.203487999999993,32.898766999999999
459,29561,The Park Shopping Center,ELEC,AVBL,4720 Freeport Boulevard,Sacramento,CA,95822,800-663-5633,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,Public, ,-121.495270000000005,38.532417000000002
460,29650,IRVINE COMPANY,ELEC,AVBL,860 Spectrum Center Dr,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.744730000000004,33.649025000000002
461,29651,IRVINE COMPANY,ELEC,AVBL,810 Spectrum Center Dr,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.744845999999995,33.649388999999999
462,29689,ELEVATE,ELEC,AVBL,330 S Cedros Ave,Solana Beach,CA,92075,888-758-4389,24 hours daily,Public, ,-117.269701499999996,32.988721099999999
463,29818,Northwest Pump - Sacremento,ELEC,AVBL,"3600 industrial blvd, Ste 10",West Sacramento,CA,95691,800-663-5633,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,Public, ,-121.564167400000002,38.574047399999998
464,29952,CT D2,ELEC,AVBL,Unnamed Road,Hornbrook,CA,96044,888-758-4389,24 hours daily,Public, ,-122.570907800000001,41.851290499999998
465,29953,YREKA TRUCK,ELEC,AVBL,787 Montague Rd,Yreka,CA,96097,888-758-4389,24 hours daily,Public, ,-122.619091999999995,41.738365999999999
466,30008,CT D2,ELEC,AVBL,Interstate 5 & rte 96,Hornbrook,CA,96044,888-758-4389,24 hours daily,Public, ,-122.571012899999999,41.851264499999999
467,30024,Panoche Shell,ELEC,AVBL,46331 W Panoche Road,Firebaugh,CA,93622,833-632-2778,24 hours daily,Public, ,-120.625602999999998,36.637692000000001
468,30102,HCP SAN DIEGO,ELEC,AVBL,4939 Directors Pl,San Diego,CA,92121,888-758-4389,24 hours daily,Public, ,-117.209085000000002,32.893942000000003
469,30103,HCP SAN DIEGO,ELEC,AVBL,11099 N Torrey Pines Rd,San Diego,CA,92037,888-758-4389,24 hours daily,Public, ,-117.243576000000004,32.907342999999997
470,30104,HCP SAN DIEGO,ELEC,AVBL,11011 N Torrey Pines Rd,San Diego,CA,92037,888-758-4389,24 hours daily,Public, ,-117.243082999999999,32.904960000000003
471,30105,HCP SAN DIEGO,ELEC,AVBL,7473 Lusk Blvd,San Diego,CA,92121,888-758-4389,24 hours daily,Public, ,-117.217316999999994,32.900595000000003
472,30106,HCP SAN DIEGO,ELEC,AVBL,11025 N Torrey Pines Rd,San Diego,CA,92121,888-758-4389,24 hours daily,Public, ,-117.242962800000001,32.905936599999997
473,30107,HCP SAN DIEGO,ELEC,AVBL,11095 Torreyana Rd,San Diego,CA,92121,888-758-4389,24 hours daily,Public, ,-117.236840999999998,32.906635999999999
474,30108,HCP SAN DIEGO,ELEC,AVBL,6195 Lusk Blvd,San Diego,CA,92121,888-758-4389,24 hours daily,Public, ,-117.194815000000006,32.899332999999999
475,30109,HCP SAN DIEGO,ELEC,AVBL,10355 Science Center Dr,San Diego,CA,92121,888-758-4389,24 hours daily,Public, ,-117.230159999999998,32.892771000000003
476,30195,Gateway Unified School District,ELEC,AVBL,4411 Mountain Lakes Blvd,Redding,CA,96003,866-816-7584,24 hours daily; also accepts Paypal,Public,A D M V,-122.387452600000003,40.630352199999997
477,30197,Volare Hotel,ELEC,AVBL,111 S Avenida De La Estrella,San Clemente,CA,92672,866-816-7584,24 hours daily; also accepts Paypal,Public,A D M V,-117.611257400000000,33.427275600000002
478,30209,San Joaquin County,ELEC,AVBL,44 N San Joaquin St,Stockton,CA,95202,866-816-7584,24 hours daily; also accepts Paypal,Public,A D M V,-121.286687099999995,37.953917599999997
479,30210,Caltrans Valencia And North Region,ELEC,AVBL,28820 The Old Rd,Valencia,CA,91355,866-816-7584,24 hours daily; also accepts Paypal,Public,A D M V,-118.606745900000007,34.441980800000003
480,30232,Best Western,ELEC,AVBL,584 North East Street,Woodland,CA,95776,800-663-5633,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,Public, ,-121.763578300000006,38.695249500000003
481,30246,Best Western Plus Villa Del Lago Inn - Tesla Supercharger,ELEC,AVBL,2959 Speno Dr,Patterson,CA,95363,877-798-3752,24 hours daily; for Tesla use only,Public, ,-121.174422000000007,37.466431999999998
482,30320,SCRIPPS HEALTH,ELEC,AVBL,9902 Genesee Ave,San Diego,CA,92037,888-758-4389,24 hours daily,Public, ,-117.224606300000005,32.883168599999998
483,30321,SCRIPPS HEALTH,ELEC,AVBL,Voigt Dr & Scripps Memorial Hospital,San Diego,CA,92037,888-758-4389,24 hours daily,Public, ,-117.224035499999999,32.882714600000000
484,30322,SCRIPPS HEALTH,ELEC,AVBL,Scripps Hospital Driveway,San Diego,CA,92037,888-758-4389,24 hours daily,Public, ,-117.224723800000007,32.883221599999999
